,tour_id,congestion_1,congestion_2,congestion_3,congestion_4,congestion_avg,congestion_max,road_total,measured_at
1818,1819,6,44,89,25,2.811,3,164,2020/10/14 14:28
1819,1820,34,27,16,1,1.7949,1,78,2020/10/14 14:28
1820,1821,36,36,45,9,2.2143,3,126,2020/10/14 14:28
1821,1822,16,28,37,8,2.4157,3,89,2020/10/14 14:28
1822,1823,6,14,43,8,2.7465,3,71,2020/10/14 14:28
1823,1824,26,49,93,24,2.599,3,192,2020/10/14 14:28
1824,1825,29,59,86,23,2.5228,3,197,2020/10/14 14:28
1825,1826,30,56,97,25,2.5625,3,208,2020/10/14 14:28
1826,1827,30,52,96,28,2.5922,3,206,2020/10/14 14:28
1827,1828,26,35,45,14,2.3917,3,120,2020/10/14 14:28
1828,1829,20,24,7,1,1.7885,2,52,2020/10/14 14:28
1829,1830,8,7,8,3,2.2308,1,26,2020/10/14 14:28
1830,1831,15,36,87,26,2.7561,3,164,2020/10/14 14:28
1831,1832,13,14,28,14,2.6232,3,69,2020/10/14 14:28
1832,1833,3,9,12,0,2.375,3,24,2020/10/14 14:28
1833,1834,6,36,100,34,2.9205,3,176,2020/10/14 14:28
1834,1835,6,7,3,0,1.8125,2,16,2020/10/14 14:28
1835,1836,19,32,70,17,2.6159,3,138,2020/10/14 14:28
1836,1837,11,27,55,27,2.8167,3,120,2020/10/14 14:28
1837,1838,17,38,61,12,2.5312,3,128,2020/10/14 14:28
1838,1839,22,31,70,13,2.5441,3,136,2020/10/14 14:28
1839,1840,15,22,44,20,2.6832,3,101,2020/10/14 14:28
1840,1841,39,35,43,15,2.2576,3,132,2020/10/14 14:28
1841,1842,14,34,86,26,2.775,3,160,2020/10/14 14:28
1842,1843,9,12,49,8,2.7179,3,78,2020/10/14 14:28
1843,1844,16,37,88,26,2.7425,3,167,2020/10/14 14:28
1844,1845,3,20,34,7,2.7031,3,64,2020/10/14 14:28
1845,1846,18,41,59,12,2.5,3,130,2020/10/14 14:28
1846,1847,15,39,92,26,2.75,3,172,2020/10/14 14:28
1847,1848,8,48,95,24,2.7714,3,175,2020/10/14 14:28
1848,1849,10,43,80,16,2.6846,3,149,2020/10/14 14:28
1849,1850,11,29,88,33,2.8882,3,161,2020/10/14 14:28
1850,1851,15,13,13,2,2.0465,1,43,2020/10/14 14:28
1851,1852,30,48,103,28,2.6172,3,209,2020/10/14 14:28
1852,1853,22,33,56,14,2.496,3,125,2020/10/14 14:28
1853,1854,22,33,56,14,2.496,3,125,2020/10/14 14:28
1854,1855,27,29,46,19,2.4711,3,121,2020/10/14 14:28
1855,1856,21,15,33,7,2.3421,3,76,2020/10/14 14:28
1856,1857,8,45,91,25,2.787,3,169,2020/10/14 14:28
1857,1858,11,36,105,33,2.8649,3,185,2020/10/14 14:28
1858,1859,10,24,52,12,2.6735,3,98,2020/10/14 14:28
1859,1860,17,6,35,9,2.5373,3,67,2020/10/14 14:28
1860,1861,8,48,102,30,2.8191,3,188,2020/10/14 14:28
1861,1862,9,46,101,28,2.8043,3,184,2020/10/14 14:28
1862,1863,1,25,37,6,2.6957,3,69,2020/10/14 14:28
1863,1864,11,27,94,35,2.9162,3,167,2020/10/14 14:28
1864,1865,5,28,77,29,2.9353,3,139,2020/10/14 14:28
1865,1866,12,36,106,36,2.8737,3,190,2020/10/14 14:28
1866,1867,7,44,87,20,2.7595,3,158,2020/10/14 14:28
1867,1868,14,42,97,29,2.7747,3,182,2020/10/14 14:28
1868,1869,11,31,89,28,2.8428,3,159,2020/10/14 14:28
1869,1870,11,32,89,29,2.8447,3,161,2020/10/14 14:28
1870,1871,14,42,97,29,2.7747,3,182,2020/10/14 14:28
1871,1872,8,26,97,31,2.9321,3,162,2020/10/14 14:28
1872,1873,5,26,89,31,2.9669,3,151,2020/10/14 14:28
1873,1874,10,24,52,12,2.6735,3,98,2020/10/14 14:28
1874,1875,8,28,70,16,2.7705,3,122,2020/10/14 14:28
1875,1876,28,35,48,10,2.3306,3,121,2020/10/14 14:28
1876,1877,11,24,72,14,2.7355,3,121,2020/10/14 14:28
1877,1878,22,51,67,20,2.5312,3,160,2020/10/14 14:28
1878,1879,19,25,44,7,2.4105,3,95,2020/10/14 14:28
1879,1880,20,56,91,24,2.623,3,191,2020/10/14 14:28
1880,1881,24,11,38,16,2.5169,3,89,2020/10/14 14:28
1881,1882,15,45,82,15,2.6178,3,157,2020/10/14 14:28
1882,1883,9,27,70,11,2.7094,3,117,2020/10/14 14:28
1883,1884,26,20,39,14,2.4141,3,99,2020/10/14 14:28
1884,1885,29,36,41,9,2.2609,3,115,2020/10/14 14:28
1885,1886,11,30,44,13,2.602,3,98,2020/10/14 14:28
